Species Link,Species,Order,Family,Number of recordings,Songs,Calls,Instr.,Juveniles,Undefined,Date of last modification,Download Link
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Falco%20subbuteo&Page=1,"Falco subbuteo
(Eurasian Hobby)",Falconiformes,Falconidae,9,-,7,-,2,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Falco%20subbuteo
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Falco%20peregrinus&Page=1,"Falco peregrinus
(Peregrine Falcon)",Falconiformes,Falconidae,1,-,1,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Falco%20peregrinus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Falco%20biarmicus&Page=1,"Falco biarmicus
(Lanner Falcon)",Falconiformes,Falconidae,2,-,-,-,2,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Falco%20biarmicus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Coturnix%20coturnix&Page=1,"Coturnix coturnix
(Common Quail)",Galliformes,Phasianidae,14,13,1,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Coturnix%20coturnix
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Clangula%20hyemalis&Page=1,"Clangula hyemalis
(Long-tailed Duck)",Anseriformes,Anatidae,4,-,4,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Clangula%20hyemalis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Charadrius%20dubius&Page=1,"Charadrius dubius
(Little Ringed Plover)",Charadriiformes,Charadriidae,6,1,5,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Charadrius%20dubius
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Buteo%20buteo&Page=1,"Buteo buteo
(Common Buzzard)",Accipitriformes,Accipitridae,18,-,17,-,1,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Buteo%20buteo
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Bucephala%20clangula&Page=1,"Bucephala clangula
(Common Goldeneye)",Anseriformes,Anatidae,5,-,5,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Bucephala%20clangula
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Branta%20leucopsis&Page=1,"Branta leucopsis
(Barnacle Goose)",Anseriformes,Anatidae,7,-,7,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Branta%20leucopsis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Branta%20canadensis&Page=1,"Branta canadensis
(Canada Goose)",Anseriformes,Anatidae,12,-,12,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Branta%20canadensis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Aquila%20pomarina&Page=1,"Aquila pomarina
(Lesser Spotted Eagle)",Accipitriformes,Accipitridae,3,-,3,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Aquila%20pomarina
